local_authority,timeperiod,percentage_of_adults_aged_18_classified_as_overweight_or_obese,utilisation_of_outdoor_space_for_exercise_health_reasons,percentage_of_physically_active_adults,percentage_of_physically_inactive_adults,percentage_of_adults_walking_for_travel_at_least_three_days_per_week,percentage_of_adults_cycling_for_travel_at_least_three_days_per_week,deprivation_score_imd_2015,proportion_of_the_population_meeting_the_recommended_5_a_day_on_a_usual_day_adults,proportion_of_the_population_with_gym_membership
East Hertfordshire,2014,60.3,25.2,61.8,24.5,22.9,2.1,8.1,54.5,11.1
East Hertfordshire,2015,55.6,25.2,72,17,23.3,3.2,8.1,56.4,10.8
East Hertfordshire,2016,57.8,25.2,73.3,18.5,22.9,0.9,8.1,55.8,10.7
East Hertfordshire,2017,54,18,70.9,18.9,24.4,0.4,8.1,56.4,10.8
East Hertfordshire,2018,62.7,29.1,72.8,16,21.9,1,8.1,55.6,10.8
East Hertfordshire,2019,62.4,28.1,71.1,18.9,14.9,0.5,8.1,56.4,12.2
East Hertfordshire,2020,55.6,36.9,73.1,14.4,15.9,1.8,8.1,56.4,12.2
East Hertfordshire,2021,58.7,29.1,74.8,17,11.1,0.8,8.1,55.8,12.2
East Hertfordshire,2022,58.9,29.1,75.2,16.6,11.7,1.1,8.1,55.8,10.8
East Hertfordshire,2023,54.4,36.9,72,18.6,11.1,2.1,8.1,56.4,10.2
East Hertfordshire,2024,58.2,29.1,73.7,18.6,9.6,4,8.1,55.6,12.2
East Hertfordshire,2025,55.6,36.9,74.7,17.9,9.9,1.3,8.1,55.8,11.1
East Suffolk,2006,63.2,17.8,66.2,18.4,31.7,4,12.4,55,10
East Suffolk,2007,59.6,12.4,63.7,20.9,32.3,3.4,15.7,54.5,10
East Suffolk,2008,61,13.2,67.9,15.2,32.3,3.4,11,56.6,10.2
East Suffolk,2009,69.1,14.5,63.9,22.6,14.8,3.2,12.9,54.8,11.5
East Suffolk,2010,52.8,13.7,72.6,15.1,32.3,36.2,23.4,55.8,8.9
East Suffolk,2011,55.8,13.7,62.6,20.9,32.5,0.4,15.7,54.2,8.7
East Suffolk,2012,58.7,15.1,62.6,21,18.4,4.2,8.1,54.7,10.1
East Suffolk,2013,60.2,28.1,69.7,17.2,21.7,7.8,9.7,56.4,9.6
East Suffolk,2014,68.4,24.5,59.5,24.8,19.2,2.1,28.4,55.8,9.7
East Suffolk,2015,62.5,22.2,61.7,21.8,19.4,1.4,12.2,56.4,10
East Suffolk,2016,59.7,24.5,65.8,23.8,20.9,7.8,19.8,55.8,10.3
East Suffolk,2017,62.7,29.1,65.2,23.7,23.5,3.4,28.8,55.8,10.3
East Suffolk,2018,63.3,36.9,66.3,20.9,16.3,3.4,15.3,55.8,11.5
East Suffolk,2019,63.5,28.1,72.6,17.1,12.3,2.5,15.3,55.8,11.4
East Suffolk,2020,56.2,24.5,75.5,17,18.7,5.9,11.8,55.6,11.1
East Suffolk,2021,64,21.6,60.9,27.4,10.2,1.9,27.7,55.8,9.3
East Suffolk,2022,57.3,24.5,64.3,24,12.1,0.4,15.7,55.4,11.1
East Suffolk,2023,64,25.2,68.6,22.1,13.6,1.5,23.6,55.8,10.7
East Suffolk,2024,49.8,15.1,65,22.8,20.1,1.5,15.3,55.4,10.3
East Suffolk,2025,59,36.9,71.1,17.9,10.9,1,8.1,55.8,9.9
Epping Forest,2006,64,14.5,59.8,24.5,32.5,0.4,15.3,55.9,10.7
Epping Forest,2007,70.5,17.8,58.8,22.3,35.6,0.4,15.3,55.4,10.8
Epping Forest,2008,63.5,29.1,61.6,23.2,35.6,2.8,15.3,56.4,10.7
Epping Forest,2009,68.7,36.9,64.3,19.1,35.6,4,15.3,56.4,10.3
Epping Forest,2010,58.6,21.6,57.8,25.1,21.7,1.4,15.3,55.6,10.4
Epping Forest,2011,60.7,29.1,68.3,18.4,32.3,3.2,15.3,56.4,12.4
Epping Forest,2012,59.8,13.7,64.4,19.6,16.3,1.5,15.3,55.8,9.7
Epping Forest,2013,65.6,24.5,65.2,19.1,20.1,1.5,15.3,55.4,10.5
Epping Forest,2014,63.2,24.5,68.1,21.8,14.8,2.7,15.3,55.6,10
Epping Forest,2015,58.7,22.2,68.7,18,20,2.1,15.3,56.4,10.2
Epping Forest,2016,58.8,36.9,67.6,19,24.4,0.7,15.3,55.4,10.9
Epping Forest,2017,58.9,25.2,69.8,18.5,24.6,2.7,15.3,56.4,10.3
Epping Forest,2018,62.4,22.2,67.4,19.5,24.1,1.3,15.3,56.4,10
Epping Forest,2019,62.1,25.2,68.1,19.9,13.8,2.5,15.3,56.4,11.5
Epping Forest,2020,63.1,28.1,63,23.3,15.5,1.4,15.3,55.6,10.3
Epping Forest,2021,61.7,29.1,69.9,19.1,10.2,3.2,15.3,55.4,9.9
Epping Forest,2022,62.7,29.1,69.8,21.5,11.7,2.8,15.3,55.4,10.7
Epping Forest,2023,60.1,29.1,74.3,14.4,13.6,1.6,15.3,55.6,10.5
Epping Forest,2024,59.8,25.2,73.7,18.3,13.6,4,15.3,55.6,10
Epping Forest,2025,57.2,25.2,69,20.9,8.7,1,15.3,55.6,10.4
Fenland,2006,55.7,16.6,61.9,22.1,35.8,13,25.4,55.8,10
Fenland,2007,68.5,21.6,60.8,23.9,32.9,7.8,25.4,55.2,10.1
Fenland,2008,59.5,13.7,61.9,23.8,34.6,11.2,25.4,55.9,10.1
Fenland,2009,65.2,25.2,69,17.8,33,1.3,25.4,55.6,9.4
Fenland,2010,64,29.1,66.7,19.6,35.8,3.2,25.4,55.6,11.4
Fenland,2011,66.9,12.4,59.5,24.7,18.4,1.8,25.4,55.7,9
Fenland,2012,58.1,14.5,59.5,24.6,26.3,7.7,25.4,54.2,9.3
Fenland,2013,64.1,10.1,63.6,23.7,10.8,2.6,25.4,54.9,8.5
Fenland,2014,62.3,16.6,60.7,27.9,20.1,2.4,25.4,54.4,10.6
Fenland,2015,71.6,28.1,64.7,25.5,17.6,3.2,25.4,56.4,11.1
Fenland,2016,70.7,25.2,60.7,27.2,14.9,3,25.4,55.4,11.4
Fenland,2017,68.5,28.1,59,30.6,12.7,1.9,25.4,55.8,10.9
Fenland,2018,71.5,36.9,62.8,24.8,16.4,3,25.4,55.6,9.3
Fenland,2019,74.5,28.1,62.7,27.4,11.7,2.8,25.4,55.4,10
Fenland,2020,60,15.2,67,22.4,18.1,6.6,25.4,60.3,15.2
Fenland,2021,50.2,20.4,71.4,20.2,15.8,2.8,25.4,70.6,20.4
Fenland,2022,45.4,25.4,69.4,24.5,10.2,2.8,25.4,75.4,25.4
Fenland,2023,43.8,30.2,71.4,22.5,13.2,7.8,25.4,80.1,30.2
Fenland,2024,42.9,33.2,59.5,25.4,10.2,5,25.4,82,33.2
Fenland,2025,37,34.5,68.7,23.8,11.7,4.1,25.4,84.4,34.5
Great Yarmouth,2006,68,13.7,54.8,28.5,30,4.8,32.4,55.6,9.3
Great Yarmouth,2007,62.4,13.7,69,19.8,34.6,3.3,32.4,56.4,11.4
Great Yarmouth,2008,65.8,13.2,57.7,28.5,18.4,3.9,32.4,54.3,8.2
Great Yarmouth,2009,66.2,12.4,57.7,27.1,18.4,2.1,32.4,54.9,8.2
Great Yarmouth,2010,69.4,17.8,58.4,24.8,21.7,3.7,32.4,54.3,9.4
Great Yarmouth,2011,62.3,13.7,56.6,25.9,21.7,0.5,32.4,55.1,8.2
Great Yarmouth,2012,64.7,14.5,60.7,27.3,15.8,1.8,32.4,54.4,9.7
Great Yarmouth,2013,68.1,21.6,57.8,23.2,26.9,0.1,32.4,55.2,9.4
Great Yarmouth,2014,69,10.1,62.3,27.3,16.7,3.4,32.4,54.7,10.4
Great Yarmouth,2015,66.2,18,58.8,27.9,15.8,3.7,32.4,56.1,10.4
Great Yarmouth,2016,66.7,15.1,54.6,29.8,13.6,4.9,32.4,54.6,9.3
Great Yarmouth,2017,64.6,29.1,62.6,23.2,18,2.9,32.4,55.6,9.3
Great Yarmouth,2018,67.2,25.2,63.3,24.6,17.5,3.6,32.4,55.8,10
Great Yarmouth,2019,66.3,10.1,56.4,35.1,10.2,1.7,32.4,55.9,10.8
Great Yarmouth,2020,68.1,25.2,63.2,28.5,24.1,1.5,32.4,56.4,11.1
Great Yarmouth,2021,68.5,28.1,68.1,25.5,15.2,1.5,32.4,55.6,10.2
Great Yarmouth,2022,64.6,36.9,66.7,23.8,16.7,2.8,32.4,55.4,9.3
Great Yarmouth,2023,62.3,29.1,64.7,25.1,12.2,1.1,32.4,55.4,10.2
Great Yarmouth,2024,67,24.5,58.3,35.1,10.2,1.1,32.4,55.2,12.2
Great Yarmouth,2025,67.8,28.1,65.2,25.1,11.7,3,32.4,56.4,10.3
Harlow,2006,62.9,16.6,58.8,26,32.3,0.8,23.6,55.9,10.2
Harlow,2007,64.7,15.2,61.4,23.5,34.6,3.4,23.6,54.3,9.9
Harlow,2008,70.5,15.2,58.8,25.4,20.1,4.7,23.6,55.6,10.4
Harlow,2009,56.7,13.7,60.7,25.1,35.8,13,23.6,55.6,10.2
Harlow,2010,61.9,12.4,57.8,27.1,32.5,6,23.6,53.5,10.3
Harlow,2011,66.9,15.1,58,25.8,17.7,1.7,23.6,55.6,9
Harlow,2012,68.7,16.6,57.7,27.1,15.4,4.5,23.6,55.7,10
Harlow,2013,66,21.6,61,27.3,16.4,2.8,23.6,54.4,10
Harlow,2014,65.1,36.9,65.8,23.2,21.7,3.5,23.6,55.4,10.2
Harlow,2015,70.5,36.9,60.8,29.3,21.7,2,23.6,55.6,11.1
Harlow,2016,66.9,24.5,62.8,23.3,23.1,3.4,23.6,55.8,12
Harlow,2017,68.5,28.1,63.3,25.4,18,2.9,23.6,55.4,10.2
Harlow,2018,68,20.7,59.8,27.1,16.7,2.6,23.6,54.2,10.1
Harlow,2019,63.5,28.1,60.7,22.3,15.4,0.7,23.6,56.4,9.7
Harlow,2020,58.7,20.7,60.7,27.2,24.1,2.2,23.6,56.4,10.3
Harlow,2021,60.8,28.1,67.4,21.7,17.5,2.1,23.6,55.4,9.6
Harlow,2022,70.7,36.9,63.5,25.1,10.2,2,23.6,55.6,11.1
Harlow,2023,60.9,29.1,67.9,20.7,14.9,1.4,23.6,55.8,9.6
Harlow,2024,60.3,29.1,69,24.5,10.2,3.7,23.6,56.4,10.2
Harlow,2025,59.4,24.5,66.2,23.7,9.9,1.9,23.6,56.4,9.9
Hertsmere,2006,55.6,13.7,69,17.2,32.5,34.6,12.9,55.8,8.2
Hertsmere,2007,62.2,17.8,65.8,17.8,35.6,0.8,12.9,55.8,10
Hertsmere,2008,60.6,18,65.8,20.4,21.7,4.8,12.9,56.6,10.6
Hertsmere,2009,65.3,29.1,62.8,19.1,32.5,3.2,12.9,55.8,11.4
Hertsmere,2010,61.9,13.7,62.7,18.4,24.5,2.8,12.9,52.8,10
Hertsmere,2011,60.5,18,63.3,21.7,20.1,1.8,12.9,54.2,10
Hertsmere,2012,62.7,13.7,61.4,24.5,27.8,20.9,12.9,55.9,11.1
Hertsmere,2013,68.3,36.9,58.7,24.8,25.7,0.7,12.9,55.4,10.8
Hertsmere,2014,52.8,17.8,74.7,16.8,32.9,20.9,12.9,55.8,10.8
Hertsmere,2015,60.3,22.2,61.1,21.7,23.2,2.1,12.9,56.5,11.4
Hertsmere,2016,65.2,36.9,63,25.3,21.2,0.8,12.9,56.4,11.1
Hertsmere,2017,60.5,29.1,63.2,20.7,18.8,1.4,12.9,55.8,9.3
Hertsmere,2018,56.3,24.5,69,15.2,25.1,1,12.9,56.4,11.2
Hertsmere,2019,59.6,29.1,66.7,20.9,16.2,0.1,12.9,55.6,11.4
Hertsmere,2020,59.6,24.5,67.4,20.9,16,12.4,12.9,56.4,10.6
Hertsmere,2021,55.4,25.2,72.6,18.5,11.5,2,12.9,55.8,10.8
Hertsmere,2022,59.6,25.2,73.3,18.6,11.5,4.2,12.9,55.8,10.2
Hertsmere,2023,58.9,24.5,69,21.4,9.9,1,12.9,55.6,10.8
Hertsmere,2024,51.1,24.5,71.9,21.3,15.6,5.9,12.9,55.4,11.4
Hertsmere,2025,54.4,24.5,73.7,17.9,8.7,3.7,12.9,55.8,10
Tendring,2006,59.5,13.7,64.7,18.4,32.9,3.2,11.8,55.1,11.5
Tendring,2007,61.8,15.1,62.8,21.6,30,5.9,11.8,54.9,9.9
Tendring,2008,62.2,16.6,60.8,19.3,21.7,4.4,11.8,55,10.2
Tendring,2009,61.6,13.7,60.4,20.6,32.5,3.2,11.8,54.7,9
Tendring,2010,60,13.7,64.9,18,27.6,4.8,11.8,55.2,9
Tendring,2011,66.6,24.5,66.7,20.4,19.4,3.2,11.8,56.4,10.8
Tendring,2012,58.9,36.9,68.4,17.3,31.7,2.3,11.8,56.4,11.1
Tendring,2013,64.8,25.2,66.7,17.2,20,3.7,11.8,55.6,9.9
Tendring,2014,69.5,36.9,58.4,25.1,22.9,2.7,11.8,55.4,10.9
Tendring,2015,63.3,20.7,62.8,23.1,15.8,3.5,11.8,54.9,9.4
Tendring,2016,66.4,36.9,75.1,15,23,2.3,11.8,55.8,11.1
Tendring,2017,65.1,25.2,66.6,21.4,17.4,4.5,11.8,55.8,12.2
Tendring,2018,68,25.2,62.7,25.1,16.9,4,11.8,55.7,10.8
Tendring,2019,64.8,28.1,71.4,20.2,14.2,1.9,11.8,55.4,11.1
Tendring,2020,64.2,25.2,63,24,13.6,1.6,11.8,55.2,10
Tendring,2021,58.7,25.2,71.9,20.6,20.7,3.4,11.8,55.6,12.2
Tendring,2022,56.2,28.1,75.2,17,13.2,4.8,11.8,55.8,10.8
Tendring,2023,64.8,29.1,73.9,19.2,11.1,3.2,11.8,55.6,10.8
Tendring,2024,55.6,28.1,68.3,20.3,15.6,2.1,11.8,56.4,10.6
Tendring,2025,49.8,29.1,74.9,16,13.6,6.2,11.8,56.4,12.4
Ipswich,2006,67.6,13.2,54.8,27.1,31.7,2.3,26.1,53,10.2
Ipswich,2007,71.5,29.1,61.6,23.8,30,2.9,26.1,56.4,10
Ipswich,2008,60.3,14.5,60.8,24.4,34.6,20.9,26.1,54.3,10.2
Ipswich,2009,64,12.4,58.7,23.5,25.7,3.2,26.1,55.4,8.5
Ipswich,2010,64.1,12.4,56.4,29.3,27.5,2.8,26.1,54.6,10.1
Ipswich,2011,68.3,27.6,63.3,21.9,20.9,1.3,26.1,55.8,10.6
Ipswich,2012,64.7,13.7,58.8,26,23.5,4.7,26.1,53.6,8.2
Ipswich,2013,68.4,17.8,58.4,30.3,14.8,2.6,26.1,52.8,10
Ipswich,2014,70.5,25.2,63.4,25.1,13.6,1.3,26.1,56.4,10.7
Ipswich,2015,60.6,27.6,65.8,21.3,27.5,5.5,26.1,55.8,9.7
Ipswich,2016,61.2,18,63.5,18.6,21.7,4.1,26.1,55.8,9.7
Ipswich,2017,68.4,28.1,67.5,21,25.7,4.5,26.1,55.8,12.2
Ipswich,2018,69,24.5,59.6,25.9,23.3,4.5,26.1,56.6,9.9
Ipswich,2019,63.2,28.1,64.1,25.8,13.6,1.1,26.1,55.8,10.6
Ipswich,2020,68.3,25.2,67.7,23.8,13.2,3.4,26.1,55.6,10.9
Ipswich,2021,66.3,28.1,66.9,21.2,13.6,4.7,26.1,55.8,10.2
Ipswich,2022,68.3,28.1,68.6,21.5,17.9,4.7,26.1,55.8,9.4
Ipswich,2023,70.5,28.1,66.9,25.7,10.2,0.5,26.1,55.8,10
Ipswich,2024,66.8,29.1,66.7,26.3,11.1,2.8,26.1,55.6,9.9
Ipswich,2025,62.5,25.2,60.4,30.3,9.6,0.8,26.1,55.8,10.6
King's Lynn and West Norfolk,2006,69.4,24.5,61.1,23.3,32.3,4.6,23.4,55.6,12.2
King's Lynn and West Norfolk,2007,66.5,21.2,61.4,23.5,33,3.3,23.4,55.2,10.9
King's Lynn and West Norfolk,2008,64,16.6,58.4,21.7,30,5.5,23.4,56.1,11.2
King's Lynn and West Norfolk,2009,63.3,10.1,63.2,22.1,23.7,2.2,23.4,54.9,10.3
King's Lynn and West Norfolk,2010,58.5,13.2,59.6,25.3,25.7,1.7,23.4,55.6,12
King's Lynn and West Norfolk,2011,65.1,22.2,67.7,19.6,26.5,4.4,23.4,56.4,11.4
King's Lynn and West Norfolk,2012,66.4,10.1,61.1,24.4,21.2,1.3,23.4,55.9,10.3
King's Lynn and West Norfolk,2013,66.3,22.2,57.8,27.4,21.2,1.3,23.4,54.9,10.4
King's Lynn and West Norfolk,2014,69.4,22.2,58.7,27.4,21.2,3,23.4,55,9.9
King's Lynn and West Norfolk,2015,66.8,24.5,67.6,20.9,12.1,1.5,23.4,55.8,9.3
King's Lynn and West Norfolk,2016,70.1,36.9,62.3,27.4,16.3,2.7,23.4,55.8,9.4
King's Lynn and West Norfolk,2017,62.3,21.6,55.5,29.5,18.9,1,23.4,54.4,8.7
King's Lynn and West Norfolk,2018,67.3,25.2,66.6,21.7,14.9,2.3,23.4,56.4,10.6
King's Lynn and West Norfolk,2019,62.8,24.5,64.9,25.7,10.3,2.1,23.4,55.4,10.3
King's Lynn and West Norfolk,2020,67.8,36.9,65,24.6,16.2,3.7,23.4,55.4,11.5
King's Lynn and West Norfolk,2021,60.3,36.9,64.7,24.6,16.4,2.8,23.4,55.4,9.7
King's Lynn and West Norfolk,2022,59.1,24.5,69,20.9,19.3,1.9,23.4,56.4,10
King's Lynn and West Norfolk,2023,63.3,25.2,75.2,15.2,14.9,2,23.4,55.6,10.1
King's Lynn and West Norfolk,2024,59.7,29.1,71.1,19.3,12.1,1.4,23.4,55.6,10.4
King's Lynn and West Norfolk,2025,61.1,36.9,68.5,21.7,14.9,0.7,23.4,55.4,9.6
Luton,2006,60.5,13.7,64.7,19.2,32.9,0.4,27.6,54.9,10.5
Luton,2007,68,15.1,58.8,23.3,35.8,4.1,27.6,55.1,9.7
Luton,2008,63.3,12.4,61.4,23.2,27.5,7.7,27.6,54.7,10.6
Luton,2009,69.5,12.4,55.5,27.4,17.7,2.8,27.6,53.5,9.7
Luton,2010,61.7,12.4,63.2,21.4,32.5,0.4,27.6,55.2,12
Luton,2011,68,24.5,62.6,23.5,22.8,2.8,27.6,55.8,9.3
Luton,2012,60.2,16.6,62.8,25,20.9,3.9,27.6,56.5,10
Luton,2013,62.3,14.5,63.4,24,20.1,1.7,27.6,55.8,10.1
Luton,2014,70.2,19.4,59,28.5,25.2,4,27.6,55.4,12
Luton,2015,65.1,20.7,61.8,24.7,19.8,3.4,27.6,55.8,8.7
Luton,2016,64,21.6,59.9,27.1,23.5,1.5,27.6,55.4,10.3
Luton,2017,60.6,17.8,58.7,28,18.3,0.9,27.6,55.7,10.4
Luton,2018,67,25.2,56.6,32.6,16.2,0.7,27.6,54.9,9.9
Luton,2019,70.7,25.2,57.7,30.3,13.4,0.2,27.6,54.4,10.6
Luton,2020,65.1,29.1,71,19.6,16.1,2.1,27.6,55.6,9.6
Luton,2021,64,36.9,69.3,22.6,10.2,3.9,27.6,55.8,9.9
Luton,2022,70.2,36.9,70,25,8.7,0.3,27.6,55.8,12.2
Luton,2023,65.1,24.5,69.1,21.4,10.3,3,27.6,56.4,10.4
Luton,2024,64.2,29.1,70.8,21.4,10.3,2.5,27.6,55.6,10.7
Luton,2025,55.8,25.2,75.5,16.5,10.9,4.6,27.6,56.4,10.1
Maldon,2006,66.6,14.5,62.7,18,30,1.7,14.5,54.8,9.3
Maldon,2007,65.1,13.2,54.6,25,30,2.1,14.5,53.5,9.7
Maldon,2008,61.7,22.2,66.6,18.3,35.8,6.2,14.5,56.4,10
Maldon,2009,67.8,18,62.3,21.9,20.1,0.6,14.5,55.6,9.9
Maldon,2010,63.2,25.2,66.2,20.4,35.8,5.9,14.5,55.6,12.2
Maldon,2011,65.6,36.9,63.4,22.8,23.8,3.2,14.5,55.4,12.4
Maldon,2012,62.8,10.1,59,24.6,17.6,1.4,14.5,54.2,10.3
Maldon,2013,64.8,24.5,66.7,18.7,23,4.4,14.5,55.4,10.3
Maldon,2014,57.8,10.1,65,20.3,22.8,7.8,14.5,54.9,9.1
Maldon,2015,58.6,20.7,68.6,19.4,16,1.1,14.5,56.4,12.2
Maldon,2016,57.9,24.5,67.4,19.1,15.5,1.5,14.5,55.4,12
Maldon,2017,65.6,29.1,68.4,19.1,17.5,1.9,14.5,56.4,12.2
Maldon,2018,66.6,28.1,69.7,19.7,16,1.3,14.5,56.4,11.1
Maldon,2019,59.6,28.1,73.7,15.3,18,2.8,14.5,55.4,9.9
Maldon,2020,61,24.5,70.8,16.6,24.3,2.8,14.5,56.4,10.2
Maldon,2021,62.1,29.1,57.8,28,10.3,1.9,14.5,55.8,9.6
Maldon,2022,62.7,25.2,70.5,21.5,13.2,2,14.5,55.8,10.8
Maldon,2023,59.8,24.5,67.1,23.2,9.9,1.3,14.5,56.4,10.8
Maldon,2024,61.6,29.1,73.7,19.4,10.9,4.3,14.5,55.4,10.2
Maldon,2025,54,24.5,69.8,21.7,7,1.4,14.5,55.8,9.9
Mid Suffolk,2006,62.9,13.7,64.4,21.8,21.7,1.7,12.7,53.5,10.6
Mid Suffolk,2007,61.9,13.7,60.5,19.9,30,4,12.7,54.7,9
Mid Suffolk,2008,60.3,10.1,65.1,22.4,31.7,3.4,12.7,55.4,10.8
Mid Suffolk,2009,66.3,21.2,58.3,25.7,23.7,1.6,12.7,54.9,10.7
Mid Suffolk,2010,57.8,13.7,62.3,21.5,27.5,1.3,12.7,54.3,9.3
Mid Suffolk,2011,59,13.2,59.8,22.1,22.9,2.1,12.7,55.6,12.4
Mid Suffolk,2012,61.4,28.1,68,16.5,35.6,1.3,12.7,56.4,10
Mid Suffolk,2013,66.7,29.1,63.7,24.5,15.4,1,12.7,55.8,10
Mid Suffolk,2014,58.1,14.5,66.2,20.4,14.8,2.5,12.7,55.4,9.3
Mid Suffolk,2015,70.5,29.1,63.7,22.8,14.8,5,12.7,55.8,10.7
Mid Suffolk,2016,64.1,29.1,65.7,21.4,15.5,3.3,12.7,55.4,11.4
Mid Suffolk,2017,68.7,29.1,66.2,21.9,12.2,0.4,12.7,55.8,11.1
Mid Suffolk,2018,61.4,36.9,71.6,18.7,12.2,1.5,12.7,55.6,10.3
Mid Suffolk,2019,61.8,36.9,70.5,17.1,13.6,1.1,12.7,55.4,11.4
Mid Suffolk,2020,51.1,10.1,63.3,21.7,23.5,4,12.7,55.6,10.2
Mid Suffolk,2021,59.8,36.9,72.3,19.8,9.6,3.7,12.7,56.4,12.4
Mid Suffolk,2022,58.1,29.1,75.2,15.8,8.7,3.4,12.7,55.8,12.4
Mid Suffolk,2023,58.5,29.1,67.7,21.4,18.1,3.5,12.7,55.4,10.8
Mid Suffolk,2024,64.8,25.2,68.4,21.4,9.9,1.5,12.7,55.4,11.1
Mid Suffolk,2025,62.4,25.2,69,21.4,13.6,1.7,12.7,55.8,11.1
North Hertfordshire,2006,59.4,13.7,68,13.9,30,7.7,11.6,54.5,9.1
North Hertfordshire,2007,61.9,20.7,70.9,15,31.7,4,11.6,55.4,11.4
North Hertfordshire,2008,59.3,17.8,62.6,22.1,30,1.7,11.6,54.4,10.3
North Hertfordshire,2009,58.9,16.6,67.7,16,23.2,3.4,11.6,56.4,10
North Hertfordshire,2010,70.6,24.5,58.8,25.7,21.7,2.5,11.6,54.7,10.2
North Hertfordshire,2011,64,15.2,58.8,25.4,22.3,4.3,11.6,53.5,10.4
North Hertfordshire,2012,58.8,21.6,59.6,23.4,21.6,1.9,11.6,56.1,10
North Hertfordshire,2013,57.9,36.9,70.7,16.9,31.7,2.8,11.6,55.8,10.8
North Hertfordshire,2014,64.3,29.1,64.2,25,15.5,2.2,11.6,55.8,10.8
North Hertfordshire,2015,60.1,29.1,70.7,17.9,26.4,2.2,11.6,55.6,10
North Hertfordshire,2016,62.1,25.2,67.6,20.4,29.2,2.8,11.6,55.6,11.1
North Hertfordshire,2017,63.2,28.1,64.4,22.8,23.3,3.7,11.6,55.8,12.2
North Hertfordshire,2018,58.2,25.2,71.7,14.9,24.8,1.3,11.6,55.4,11.5
North Hertfordshire,2019,61.6,28.1,65,22.1,15.8,2,11.6,55.6,10.1
North Hertfordshire,2020,59.4,29.1,70,18.7,16.4,3.4,11.6,55.8,10.2
North Hertfordshire,2021,55.4,36.9,73,17.3,19.2,2.3,11.6,55.6,10.2
North Hertfordshire,2022,50.3,24.5,63.5,23.7,18,3.4,11.6,56.4,10.6
North Hertfordshire,2023,57.4,25.2,65.1,21.5,8.7,1.5,11.6,55.8,10.4
North Hertfordshire,2024,51.1,25.2,74.8,16.9,19.3,3.2,11.6,55.8,10.2
North Hertfordshire,2025,50.3,24.5,78.4,15.7,15.8,0.4,11.6,55.6,10.7
North Norfolk,2006,62.7,16.6,63.8,19.5,32.3,11.2,21.3,55.4,8.7
North Norfolk,2007,66.4,27.6,61.4,22.1,32.9,2.6,21.3,55.4,10.3
North Norfolk,2008,70.7,10.1,54.8,26.8,25.1,2.1,21.3,54.6,12.4
North Norfolk,2009,68.4,17.8,59.9,25.4,26.5,12.4,21.3,54.9,9.3
North Norfolk,2010,54,13.2,67.1,19.2,32.9,20.9,21.3,56.5,8.7
North Norfolk,2011,67,13.2,60.8,25.4,20.1,3.2,21.3,52.8,10.3
North Norfolk,2012,69.1,36.9,66.6,18.4,26.9,1.6,21.3,55.6,10.3
North Norfolk,2013,61.1,10.1,60.9,25.7,19.4,3.2,21.3,55.6,9.6
North Norfolk,2014,63.2,18,58.8,24.1,26.9,1.7,21.3,55.5,10
North Norfolk,2015,65.3,29.1,66.9,19.8,16.1,2.2,21.3,55.4,10.1
North Norfolk,2016,60.3,24.5,70.8,21.7,20.1,3.2,21.3,55.6,10.9
North Norfolk,2017,63.9,29.1,71.8,15.7,13.2,1.7,21.3,55.8,10.2
North Norfolk,2018,64.3,25.2,69.4,20.9,16.3,4.6,21.3,55.8,10.7
North Norfolk,2019,62.3,25.2,66.7,23.9,11,2.7,21.3,55.4,9
North Norfolk,2020,70.7,25.2,69,21.9,9.9,2.4,21.3,55.8,11.1
North Norfolk,2021,67.2,24.5,66.3,18.6,18.4,3.7,21.3,55.4,8.7
North Norfolk,2022,70.6,25.2,69.3,21.3,11.1,0.7,21.3,55.8,12.2
North Norfolk,2023,68,28.1,62.8,30.3,11.1,0.7,21.3,55.4,10.7
North Norfolk,2024,63.2,24.5,60.7,25.9,9.9,1.6,21.3,55.6,10.2
North Norfolk,2025,57.9,25.2,70.9,22.1,12.1,2.2,21.3,55.4,9.4
Norwich,2006,71.5,20.7,63.4,21.4,32.5,7.7,28.8,56.4,10.3
Norwich,2007,70.7,18,60.9,23.1,31.7,0.4,28.8,56.5,10.9
Norwich,2008,70.1,28.1,54.6,28.8,32.3,4.2,28.8,55.7,9.4
Norwich,2009,75.9,28.1,58.3,25.8,23.2,2.6,28.8,55.2,12.2
Norwich,2010,72.8,24.5,58.8,28.5,21.2,4.4,28.8,56.6,10.2
Norwich,2011,64.2,14.5,62.7,24.6,30,3.3,28.8,54.5,10.3
Norwich,2012,69.4,15.2,57.7,30.3,14.8,0.7,28.8,55.6,10.7
Norwich,2013,64.6,13.7,59.5,26.8,26.3,6.2,28.8,55.6,10.4
Norwich,2014,63.5,29.1,62,26.6,22.8,4.3,28.8,55.8,10.4
Norwich,2015,55.3,15.1,71.5,19.8,35.8,12,28.8,55.6,10
Norwich,2016,57,17.8,68.2,19.6,32.5,13,28.8,55.8,9.1
Norwich,2017,56.7,21.6,68.5,17.9,31.7,11.2,28.8,55.8,10.2
Norwich,2018,58.8,25.2,67.1,20.6,35.6,7.7,28.8,55.6,9.3
Norwich,2019,55.8,22.2,67.8,22.2,26.6,6,28.8,55.8,10.4
Norwich,2020,62.3,25.2,60.8,27.1,23.3,1.3,28.8,55.8,9.6
Norwich,2021,68,25.2,65.8,25.4,13.6,1.3,28.8,56.4,10.9
